ID,8,11,12,13,14,15,19,20,21,22,23,24,25,27,28,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,98,99,102,103,126,127,128,129,130,132,133,480,481,482,483,511,512,513,514,515,516,517,518,519,521,522,523,524,525,526,527,528,529,592,593,594,595,832,856,857,859,860,862,863,877,878,879,880,881,882,883,884,885,886,887,888,889,890,892,893,894,895,896,897,898,900,901,902,903,906,907,908,909,910,911,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,946
51,39,9,38,69,26,1,36,30,67,278,319,1,105,434,834,0,0,35933,35803,228,116990,65030,73268,31447,70,0,439,0,750,267,0,390,0,81,92,228,4,3,406,2071,140,1,0,1184,1754,2059,676,1446,2173612,25,26,0,49,3,2,0,2,0,49,0,67,34,24,0,0,5,17,36,7,194,0,0,0,0,0,582,16,34,39,1,46,1227,40,0,5,0,0,6,2,18,0,0,14,3,11,6,59,0,87,92,456,0,0,18,9,7,21,158,128,60,36,376,578,3,0,2,6,12,4,0,17,27,5,33,8,0,1,0,76,205,50,110,40,0,6,0,2,2,67,0,73,70,1931,0,0
52,183,82,374,248,223,5,277,181,161,1254,1841,57,791,3073,7278,0,0,67773,191191,123121,667,68962,119831,131165,3271,0,5247,0,4841,1577,0,1615,0,223,916,1026,1,11,2601,9627,3642,45,0,5194,3691,1663,7660,5584,1314944,49,58,0,128,4,7,0,9,0,30,0,97,48,33,1,0,9,32,62,48,798,0,0,0,0,0,4710,84,431,361,12,97,5637,129,0,27,0,0,74,36,26,1,5,71,6,26,37,473,0,876,471,5922,0,0,45,34,14,140,620,496,273,180,1830,1830,9,0,1,13,26,36,11,19,110,70,65,12,0,10,1,250,440,118,335,142,7,45,0,9,2,132,0,202,197,9112,0,0
53,1139,291,806,920,753,4,843,336,1355,1664,3078,9,2058,8586,18528,0,0,57107,66670,70364,81459,154,14446,108488,8332,0,6625,0,5062,1734,0,2980,0,344,2602,631,6,8,4182,12558,13626,3,0,4622,4035,4258,13967,3076,596369,401,228,0,607,9,16,0,36,0,82,0,572,252,243,2,0,61,187,344,267,3867,0,0,0,0,0,5468,109,358,594,32,72,6235,316,0,38,0,0,150,94,61,0,15,70,3,6,6,815,0,1446,1176,3194,0,0,420,419,48,534,6061,6286,2556,2163,15725,16523,20,14,2,30,252,499,56,140,741,339,368,190,0,176,4,1293,5014,886,3412,1677,10,56,0,69,13,755,1,1524,134,4359,0,32
54,1644,454,1012,1292,1155,14,1368,643,2409,3138,4950,10,2848,10475,26780,0,0,24752,85291,81358,140236,19457,387,68794,16863,0,13879,0,9104,2516,0,6743,0,939,4360,802,24,22,7433,14905,22153,15,0,7884,8974,10451,23940,3292,914545,761,374,0,1370,8,29,0,48,0,216,0,1031,499,559,0,0,134,386,566,586,5434,0,0,0,0,0,9414,185,841,806,18,106,12766,973,0,66,0,0,418,330,103,7,12,127,11,12,62,960,0,4433,3418,3483,0,0,616,538,65,514,7232,5840,2002,2386,26059,22761,28,5,7,132,350,587,154,263,1009,595,728,244,0,130,1,1801,7624,1233,5650,2487,12,155,0,53,20,1137,6,2032,117,1288,0,24
55,4066,1899,5005,3811,2724,21,2702,1740,4798,4712,11138,14,3709,10743,34668,0,0,35821,50567,16516,76572,66434,43771,146,37865,0,19603,0,12082,1925,0,826,0,104,60,90,28,20,19720,12969,27045,10,0,9086,14579,7436,32529,5846,873974,909,912,0,1911,35,65,0,93,0,429,0,1894,791,886,19,0,313,630,1527,1175,36228,0,0,0,0,0,13115,375,1704,883,24,128,80544,1517,0,115,0,0,65,122,83,4,17,110,8,17,95,2544,0,1324,527,1577,0,0,770,493,68,2041,3931,3949,1972,2760,28699,23243,47,21,12,387,524,969,244,457,3860,1339,1459,1654,0,1832,28,1832,10093,1935,12064,3464,76,1022,0,280,107,15074,2,2126,24,110,0,0
56,765,209,1402,1091,419,1,558,211,136,674,2181,7,1111,20255,59236,0,0,26,81,229,3513,7260,12320,63886,1395,756312,23,1145770,35,355737,0,411699,0,50567,119146,168900,4,0,2394,25543,82,0,0,152295,62225,25847,55122,5967,228,14,13,0,39,7,3,0,4,0,21,0,21,17,80,1,0,19,12,119,489,17604,0,0,0,0,0,6765,61,497,549,12,28,29930,74,0,11,0,0,68,21,14,2,0,30,0,4,2,614,0,1906,803,5308,0,0,110,279,29,545,1355,622,166,82,159,241,3,0,0,0,48,23,25,27,191,205,98,69,0,102,1,145,306,95,312,218,6,31,0,12,4,809,0,112,27624,1218894,0,1
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,236,129,918,766,550,0,556,457,140,1470,3015,16,1075,11286,38111,0,0,32,129,640,5459,6173,10287,33490,11,0,51,21404,9,131600,0,204836,0,21168,46532,30721,1,0,2919,25828,13,0,0,38912,22979,17585,19549,8873,83,13,8,0,33,2,1,0,6,0,12,0,30,11,22,1,0,4,6,27,69,1886,0,0,0,0,0,8192,63,432,351,10,203,5650,221,0,31,0,0,79,13,21,2,2,117,1,18,42,731,0,1503,471,4352,0,0,24,37,7,168,1378,691,139,70,135,216,17,0,0,1,23,12,8,43,82,82,43,31,0,12,1,42,164,60,228,111,2,13,0,2,20,134,0,53,8449,179986,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1289978,0,10481,0,0,0,0,0,0,0,0,0,0,0,0,0,340541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,226,80,414,1003,666,2,488,303,230,2146,2512,8,1076,8845,10969,0,0,101,484,977,6561,5861,8996,22510,21,0,8,0,45,57030,0,146663,0,147461,45687,63223,2,4,3006,25127,4,0,0,6947,35991,16027,6359,14005,183,31,43,0,77,1,3,0,5,0,12,0,138,46,76,1,0,16,35,129,92,1720,0,0,0,0,0,6896,102,429,344,24,106,3654,377,0,53,3,0,106,31,69,3,56,321,6,88,34,983,0,804,477,3166,0,0,54,76,13,269,2350,1879,363,241,354,775,1,3,0,0,19,30,5,39,248,73,155,38,0,21,1,111,427,146,565,229,4,5,0,9,7,134,0,281,24309,172329,0,3
61,211,299,1333,1321,833,2,1400,874,199,3564,6135,30,4870,16454,31489,0,0,94,240,228,1291,1399,1615,2169,266912,0,102856,0,35932,25,0,6,0,0,1,1,0,4,6273,22357,222253,0,0,3084,8896,3611,3041,2587,141,49,14,0,66,3,1,0,4,0,15,0,52,40,50,0,0,6,29,56,69,1202,0,0,0,0,0,11929,146,647,782,48,123,6432,403,0,152,0,0,246,60,76,5,59,163,8,22,20,1551,0,1211,377,3128,0,0,29,112,6,156,653,746,647,159,338,495,6,1,1,0,39,47,23,46,174,53,144,26,0,12,1,92,392,153,472,168,4,14,0,7,2,130,0,167,3,1,0,9
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4216,0,5847,20950,18248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5136,112872,0,0
