o,d,flow_in,flow_out
19,49,12,12
19,50,37,39
19,51,42,43
19,52,267,270
19,53,693,708
19,54,831,850
19,55,3687,3750
19,56,353,369
19,58,587,612
19,60,1054,1070
19,61,1997,2031
19,63,579,585
19,65,354,358
19,66,416,424
19,67,403,418
19,98,27626,27954
19,99,36919,37792
19,102,167,171
19,127,3006,3045
19,128,3513,3566
19,129,914,934
19,130,2379,2422
19,132,819,831
19,133,22,22
19,480,1,1
19,481,1,1
19,483,3,3
19,519,1,1
19,525,1,1
19,528,19,19
19,832,7949,8082
19,856,6141,6982
19,857,8174,13941
19,859,2166,4630
19,860,105,697
19,862,482,4125
19,863,14732,15470
19,877,16,34
19,879,7,11
19,882,3,4
19,883,0,1
19,884,1,3
19,887,0,3
19,888,0,1
19,890,0,3
19,892,5157,5253
19,894,5225,5368
19,895,6377,6647
19,896,27658,28353
19,903,2,2
19,906,188,273
19,907,135,145
19,908,47,51
19,909,44,47
19,910,35,46
19,911,29,30
19,913,1,1
19,916,0,1
19,917,1,2
19,919,2,2
19,920,2,2
19,921,5,6
19,922,1,1
19,923,1,2
19,924,1,1
19,928,3,3
19,929,2,2
19,930,1,1
19,931,1,2
19,932,2,3
19,933,0,1
19,938,7,9
19,940,4,7
19,941,152,157
19,942,11920,12176
20,8,1854,2070
20,11,2309,2359
20,12,7286,7410
20,13,4134,4185
20,14,2394,2420
20,15,14,14
20,19,6204,6310
20,20,627,629
20,21,3392,3478
20,22,106,106
20,23,45654,46886
20,24,316,1105
20,25,11169,11347
20,27,1751,1779
20,28,3584,3634
20,49,8,8
20,50,31,31
20,51,41,41
20,52,187,189
20,53,234,236
20,54,404,411
20,55,2130,2162
20,56,215,222
20,58,531,543
20,60,538,542
20,61,1015,1022
20,63,318,320
20,65,248,252
20,66,126,128
20,67,170,178
20,68,127,219
20,70,66,229
20,98,18722,18891
20,99,15599,15869
20,102,106,106
20,103,6,56
20,127,947,962
20,128,1236,1245
20,129,714,719
20,130,947,959
20,132,507,513
20,133,8,8
20,480,478,483
20,481,268,286
20,483,907,992
