,906,20,21,22,24,25,129,27,28,128,127,99,907,98,931,932,19,130,23,930,928,132,911,910,909,8,929,940,11,12,908,13,14,15,832,133,51,54,53,52,50,49,48,55,102,67,66,60,64,941,65,56,942,58,59,57,62,63,61,919,918,920,921,922,923,924,917,946,926,939,938,937,936,935,934,103,933,70,68,927,480,481,482,512,511,523,527,525,529,526,524,522,528,521,518,517,516,515,514,513,519,483,859,863,860,857,862,856,886,879,880,882,883,884,885,890,889,877,887,888,896,892,894,895,903,902,901,900,914,915,916,913
128,1253.0,211.0,148.0,1104.0,29.0,738.0,3704.0,5670.0,7475.0,0.0,10026.0,6659.0,735.0,1680.0,546.0,65.0,238.0,6157.0,1478.0,64.0,116.0,2546.0,1108.0,1588.0,240.0,104.0,393.0,164.0,27.0,82.0,170.0,237.0,320.0,0.0,4417.0,3584.0,1251.0,1363.0,1025.0,1616.0,246.0,55.0,0.0,3059.0,13358.0,776.0,223.0,7847.0,0.0,186.0,241.0,21128.0,4340.0,5696.0,0.0,0.0,0.0,1734.0,2196.0,4.0,11.0,18.0,36.0,6.0,32.0,6.0,29.0,0.0,0.0,0.0,14.0,3.0,2.0,0.0,11.0,10.0,2.0,4.0,5.0,0.0,60.0,14.0,0,1.0,0.0,0,0,183.0,0,24.0,7.0,0.0,0.0,23.0,67.0,0.0,9.0,0.0,5.0,0.0,54.0,56.0,636.0,1538.0,39.0,317.0,256.0,72.0,27.0,98.0,0.0,78.0,12.0,75.0,12.0,50.0,40.0,300.0,171.0,4.0,1138.0,630.0,392.0,222.0,9.0,10.0,77.0,59.0,2.0,1.0,11.0,16.0
127,1067.0,172.0,84.0,817.0,21.0,593.0,11747.0,4592.0,6279.0,9366.0,0.0,5164.0,545.0,1416.0,93.0,103.0,120.0,1822.0,1021.0,40.0,37.0,4169.0,371.0,304.0,144.0,23.0,214.0,197.0,45.0,120.0,166.0,233.0,250.0,0.0,3709.0,232.0,698.0,1730.0,1427.0,2084.0,278.0,62.0,0.0,2433.0,33421.0,1109.0,1168.0,1972.0,0.0,790.0,1955.0,41508.0,4047.0,9043.0,0.0,0.0,0.0,2082.0,976.0,2.0,7.0,24.0,55.0,12.0,71.0,9.0,7.0,4.0,1.0,1.0,15.0,3.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,0.0,38.0,9.0,0,5.0,2.0,0,0,8.0,0,26.0,4.0,0.0,0.0,24.0,53.0,0.0,8.0,0.0,3.0,0.0,31.0,24.0,399.0,485.0,56.0,213.0,174.0,57.0,15.0,63.0,0.0,74.0,15.0,49.0,2.0,25.0,33.0,314.0,108.0,5.0,554.0,393.0,277.0,68.0,30.0,13.0,15.0,21.0,0.0,0.0,0.0,9.0
99,601.0,3390.0,1306.0,33733.0,543.0,14729.0,5317.0,11666.0,35779.0,6496.0,8010.0,0.0,439.0,40705.0,185.0,174.0,4057.0,6527.0,19846.0,103.0,48.0,2720.0,450.0,284.0,81.0,757.0,247.0,139.0,1104.0,4010.0,129.0,4452.0,5135.0,4.0,16202.0,132.0,799.0,1342.0,1508.0,2064.0,537.0,65.0,0.0,2125.0,2512.0,549.0,203.0,11908.0,0.0,162.0,275.0,3504.0,3294.0,7199.0,0.0,0.0,0.0,1210.0,5223.0,53.0,162.0,359.0,873.0,264.0,776.0,79.0,257.0,9.0,27.0,1.0,823.0,28.0,28.0,0.0,48.0,9.0,11.0,74.0,96.0,3.0,152.0,61.0,0,13.0,3.0,0,0,48.0,0,114.0,49.0,0.0,2.0,135.0,360.0,0.0,97.0,0.0,37.0,0.0,266.0,415.0,4021.0,6216.0,464.0,7662.0,1640.0,2105.0,196.0,1144.0,0.0,1276.0,188.0,956.0,78.0,398.0,353.0,9106.0,1397.0,70.0,5901.0,19689.0,2738.0,1549.0,19.0,14.0,3.0,55.0,9.0,3.0,6.0,231.0
907,5351.0,27.0,528.0,104.0,4.0,61.0,731.0,242.0,460.0,617.0,559.0,472.0,0.0,172.0,970.0,643.0,16.0,474.0,179.0,321.0,318.0,7529.0,8467.0,42004.0,1613.0,280.0,2962.0,936.0,110.0,172.0,806.0,262.0,22.0,4.0,303.0,678.0,44.0,866.0,1151.0,312.0,61.0,8.0,0.0,1012.0,303.0,76.0,35.0,472.0,0.0,22.0,28.0,157.0,334.0,246.0,0.0,0.0,0.0,140.0,145.0,13.0,73.0,89.0,210.0,40.0,135.0,15.0,84.0,3.0,7.0,7.0,123.0,12.0,7.0,0.0,20.0,15.0,2.0,33.0,40.0,0.0,160.0,168.0,0,23.0,7.0,0,0,73.0,0,110.0,37.0,1.0,2.0,102.0,512.0,0.0,60.0,0.0,16.0,0.0,172.0,306.0,34.0,94.0,12.0,40.0,11.0,66.0,2.0,9.0,0.0,16.0,3.0,11.0,0.0,7.0,12.0,41.0,14.0,0.0,87.0,73.0,45.0,21.0,94.0,56.0,215.0,218.0,26.0,2.0,96.0,80.0
98,278.0,8677.0,4249.0,62.0,1471.0,10958.0,1647.0,3100.0,5337.0,1740.0,1879.0,38046.0,183.0,0.0,595.0,715.0,11031.0,1009.0,39163.0,233.0,51.0,1204.0,263.0,110.0,47.0,2511.0,432.0,139.0,2128.0,7618.0,57.0,8598.0,5542.0,7.0,7155.0,31.0,269.0,1016.0,739.0,816.0,116.0,26.0,0.0,3985.0,248.0,639.0,257.0,1809.0,0.0,196.0,141.0,179.0,7514.0,820.0,0.0,0.0,0.0,787.0,1477.0,199.0,410.0,911.0,3018.0,577.0,1480.0,285.0,657.0,39.0,81.0,105.0,1074.0,154.0,85.0,0.0,110.0,20.0,23.0,300.0,365.0,31.0,814.0,574.0,0,104.0,20.0,0,0,281.0,0,481.0,155.0,1.0,1.0,487.0,1530.0,0.0,528.0,0.0,174.0,0.0,1218.0,1335.0,4058.0,9256.0,612.0,9982.0,3194.0,19604.0,629.0,1729.0,1.0,2181.0,465.0,2249.0,121.0,2260.0,1660.0,31260.0,5239.0,189.0,22042.0,6848.0,3875.0,6291.0,30.0,60.0,46.0,204.0,12.0,4.0,6.0,1273.0
931,1699.0,154.0,4208.0,2.0,18.0,34.0,285.0,64.0,142.0,240.0,92.0,158.0,992.0,471.0,0.0,2287.0,0.0,177.0,361.0,1988.0,568.0,1697.0,36320.0,17396.0,1857.0,1980.0,5496.0,5135.0,396.0,602.0,1030.0,779.0,188.0,445.0,68.0,107.0,23.0,611.0,638.0,61.0,46.0,3.0,0.0,1744.0,13.0,40.0,5.0,57.0,0.0,20.0,10.0,8.0,336.0,23.0,0.0,0.0,0.0,64.0,61.0,77.0,215.0,430.0,944.0,386.0,523.0,54.0,542.0,66.0,14.0,14.0,154.0,18.0,24.0,0.0,23.0,389.0,53.0,241.0,2025.0,3.0,2379.0,124.0,0,5218.0,17996.0,0,0,145.0,0,174.0,114.0,2.0,1.0,273.0,16604.0,0.0,4625.0,0.0,5417.0,0.0,3158.0,7300.0,60.0,170.0,3.0,32.0,46.0,39.0,12.0,45.0,0.0,395.0,32.0,65.0,4.0,126.0,20.0,224.0,130.0,11.0,121.0,23.0,25.0,18.0,282.0,190.0,1149.0,2408.0,258.0,79.0,2638.0,312.0
932,557.0,234.0,7109.0,0.0,10.0,29.0,135.0,48.0,86.0,57.0,63.0,179.0,619.0,708.0,1654.0,0.0,1.0,123.0,557.0,1825.0,722.0,992.0,8931.0,7979.0,595.0,3516.0,4941.0,1255.0,969.0,799.0,500.0,1811.0,305.0,628.0,70.0,41.0,9.0,342.0,300.0,28.0,9.0,2.0,0.0,763.0,10.0,18.0,3.0,31.0,0.0,2.0,10.0,9.0,114.0,14.0,0.0,0.0,0.0,26.0,32.0,93.0,220.0,330.0,551.0,226.0,722.0,67.0,757.0,20.0,4.0,22.0,190.0,12.0,7.0,0.0,20.0,837.0,4.0,586.0,3385.0,3.0,3262.0,100.0,0,17548.0,22626.0,0,0,51.0,0,96.0,59.0,0.0,1.0,192.0,2965.0,0.0,29474.0,0.0,6482.0,0.0,2284.0,1339.0,85.0,220.0,9.0,35.0,74.0,12.0,17.0,70.0,0.0,710.0,33.0,98.0,9.0,90.0,29.0,216.0,138.0,11.0,235.0,10.0,18.0,21.0,432.0,1005.0,723.0,1288.0,376.0,77.0,3072.0,655.0
19,12.0,2039.0,0.0,5.0,158.0,2311.0,145.0,413.0,830.0,227.0,170.0,3809.0,15.0,10064.0,0.0,0.0,0.0,164.0,12089.0,0.0,0.0,61.0,3.0,4.0,21.0,2.0,0.0,1.0,1.0,0.0,5.0,3.0,4.0,0.0,506.0,8.0,13.0,74.0,79.0,51.0,7.0,1.0,0.0,179.0,30.0,62.0,29.0,209.0,0.0,8.0,32.0,25.0,1105.0,97.0,0.0,0.0,0.0,69.0,130.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1026.0,979.0,102.0,1052.0,459.0,2025.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1650.0,891.0,591.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,1130.0,129.0,77.0,836.0,27.0,738.0,4917.0,1899.0,8318.0,5988.0,1423.0,7562.0,376.0,1099.0,147.0,113.0,183.0,0.0,1839.0,47.0,43.0,3044.0,457.0,368.0,183.0,45.0,213.0,98.0,51.0,141.0,152.0,281.0,181.0,0.0,2800.0,321.0,242.0,2705.0,2454.0,2048.0,198.0,83.0,0.0,5787.0,12389.0,826.0,383.0,1430.0,0.0,185.0,647.0,17297.0,3611.0,5032.0,0.0,0.0,0.0,1209.0,707.0,5.0,10.0,20.0,40.0,19.0,33.0,12.0,8.0,1.0,0.0,0.0,15.0,1.0,1.0,0.0,1.0,5.0,1.0,6.0,3.0,0.0,16.0,13.0,0,2.0,1.0,0,0,10.0,0,12.0,6.0,0.0,0.0,11.0,52.0,0.0,9.0,0.0,1.0,0.0,35.0,30.0,309.0,424.0,49.0,299.0,191.0,54.0,15.0,55.0,0.0,72.0,10.0,40.0,2.0,24.0,21.0,178.0,67.0,7.0,437.0,1344.0,275.0,89.0,10.0,5.0,16.0,49.0,0.0,0.0,2.0,13.0
23,174.0,11230.0,2962.0,8064.0,1283.0,6520.0,1736.0,1703.0,4823.0,1527.0,1416.0,18795.0,214.0,45268.0,474.0,575.0,12363.0,2415.0,0.0,121.0,18.0,1190.0,97.0,87.0,21.0,2405.0,338.0,55.0,2058.0,9342.0,37.0,8149.0,5191.0,3.0,5144.0,30.0,222.0,728.0,527.0,671.0,87.0,16.0,0.0,1946.0,293.0,466.0,164.0,1250.0,0.0,127.0,89.0,232.0,3212.0,989.0,0.0,0.0,0.0,718.0,1292.0,104.0,331.0,647.0,1640.0,478.0,1115.0,225.0,479.0,31.0,55.0,18.0,798.0,68.0,50.0,0.0,63.0,43.0,31.0,141.0,302.0,24.0,557.0,281.0,0,30.0,23.0,0,0,123.0,0,276.0,66.0,0.0,4.0,366.0,948.0,0.0,449.0,0.0,105.0,0.0,861.0,1005.0,3355.0,4807.0,684.0,7859.0,3431.0,95256.0,335.0,2156.0,0.0,2121.0,322.0,1378.0,125.0,994.0,772.0,24790.0,2824.0,164.0,10647.0,10600.0,1351.0,2321.0,19.0,24.0,18.0,185.0,29.0,1.0,10.0,978.0
