,ROUTE_NAME,STATION_NAME,LONGITUDE,LATITUDE,ID
9021,10号线,劲松,116.4555121,39.87457419,1043
9023,10号线,潘家园,116.4524575,39.86476092,9023
9025,10号线,十里河,116.44920249999998,39.85088475,9025
9027,10号线,分钟寺,116.44189250000001,39.84451834,9027
9029,10号线,成寿寺,116.4336033,39.84452226,9029
9031,10号线,宋家庄,116.42326829999999,39.84452631,565
9033,10号线,石榴庄,116.40798629999999,39.84446734,9033
9035,10号线,大红门,116.3945774,39.84399285,9035
9037,10号线,角门东,116.38027520000001,39.84413348,9037
9039,10号线,角门西,116.36534009999998,39.84448504,465
9041,10号线,草桥,116.34664879999998,39.84418314,9041
9043,10号线,纪家庙,116.3284392,39.84243099,9043
9045,10号线,首经贸,116.3150122,39.84269473,9045
9047,10号线,丰台站,116.3005049,39.84578739,9047
9049,10号线,泥洼,116.29953640000001,39.85371611,9049
9051,10号线,西局,116.29827240000002,39.86538063,9051
9053,10号线,六里桥,116.29741299999999,39.87974044,933
9055,10号线,莲花桥,116.30301920000001,39.89407619,9055
9057,10号线,公主坟,116.30417779999999,39.90553008,110
9059,10号线,西钓鱼台,116.2915518,39.92106139,9059
9061,10号线,慈寿寺,116.29019469999999,39.93014935,623
9063,10号线,车道沟,116.28935849999999,39.94540068,9063
9065,10号线,长春桥,116.28892250000001,39.95586316,9065
9067,10号线,火器营,116.28315570000001,39.964572600000004,9067
9069,10号线,巴沟,116.2802882,39.97014763,1001
1321,13号线,西直门,116.3487654,39.93912106,201
1323,13号线,大钟寺,116.33927949999999,39.96559055,1323
1325,13号线,知春路,116.3336389,39.97514079,1009
1327,13号线,五道口,116.3316982,39.99050306,1327
1329,13号线,上地,116.31319620000001,40.03162468,1329
1331,13号线,西二旗,116.29850659999998,40.0508816,1331
1333,13号线,龙泽,116.3135699,40.06912791,1333
1335,13号线,回龙观,116.32919840000002,40.0688322,1335
1337,13号线,霍营,116.3527497,40.06865998,813
1339,13号线,立水桥,116.40619170000001,40.04963732,527
1341,13号线,北苑,116.4277429,40.04119002,1341
1343,13号线,望京西,116.44086409999998,39.99411617,1343
1345,13号线,芍药居,116.4294535,39.97650759,1023
1347,13号线,光熙门,116.4258378,39.96932083,1347
1349,13号线,柳芳,116.42618909999999,39.95670492,1349
1351,13号线,东直门,116.42819109999998,39.93974713,214
1421,14号线,张郭庄,116.1840061,39.85741904,1421
1423,14号线,园博园,116.2081861,39.86185835,1423
1425,14号线,大瓦窑,116.2305882,39.86562687,1425
1427,14号线,郭庄子,116.2474311,39.86550321,1427
1429,14号线,大井,116.27174099999999,39.86327173,1429
1431,14号线,七里庄,116.28936929999999,39.86398449,935
1433,14号线,西局,116.2973192,39.86487051,9051
1471,14号线,金台路,116.47254779999999,39.9227555,649
1473,14号线,朝阳公园,116.478283,39.933710999999995,1473
1475,14号线,枣营,116.47273290000001,39.93369892,1475
1477,14号线,东风北桥,116.468544,39.94285714,1477
1479,14号线,将台,116.4801571,39.96213805,1479
