,ROUTE,NAME,LON,LAT,ID,ROUTE_NAME,STATION_NAME,STATION
9035,90,大红门,116.3945774,39.84399285,9035,10号线,大红门,35
9037,90,角门东,116.3802752,39.84413348,9037,10号线,角门东,37
9039,90,角门西,116.36534009999998,39.84448504,465,10号线,角门西,39
9041,90,草桥,116.34664879999998,39.84418314,9041,10号线,草桥,41
9043,90,纪家庙,116.3284392,39.84243099,9043,10号线,纪家庙,43
9045,90,首经贸,116.3150122,39.84269473,9045,10号线,首经贸,45
9047,90,丰台站,116.3005049,39.84578739,9047,10号线,丰台站,47
9049,90,泥洼,116.2995364,39.85371611,9049,10号线,泥洼,49
9051,90,西局,116.29827240000002,39.86538063,9051,10号线,西局,51
9053,90,六里桥,116.297413,39.87974044,933,10号线,六里桥,53
9055,90,莲花桥,116.3030192,39.89407619,9055,10号线,莲花桥,55
9057,90,公主坟,116.3041778,39.90553008,110,10号线,公主坟,57
9059,90,西钓鱼台,116.2915518,39.92106139,9059,10号线,西钓鱼台,59
9061,90,慈寿寺,116.2901947,39.93014935,623,10号线,慈寿寺,61
9063,90,车道沟,116.2893585,39.94540068,9063,10号线,车道沟,63
9065,90,长春桥,116.2889225,39.95586316,9065,10号线,长春桥,65
9067,90,火器营,116.2831557,39.9645726,9067,10号线,火器营,67
9069,90,巴沟,116.2802882,39.97014763,1001,10号线,巴沟,69
1321,13,西直门,116.3487654,39.93912106,201,13号线,西直门,21
1323,13,大钟寺,116.3392795,39.96559055,1323,13号线,大钟寺,23
1325,13,知春路,116.3336389,39.97514079,1009,13号线,知春路,25
1327,13,五道口,116.3316982,39.99050306,1327,13号线,五道口,27
1329,13,上地,116.3131962,40.03162468,1329,13号线,上地,29
1331,13,西二旗,116.29850659999998,40.0508816,1331,13号线,西二旗,31
1333,13,龙泽,116.3135699,40.06912791,1333,13号线,龙泽,33
1335,13,回龙观,116.32919840000002,40.0688322,1335,13号线,回龙观,35
1337,13,霍营,116.3527497,40.06865998,813,13号线,霍营,37
1339,13,立水桥,116.4061917,40.04963732,527,13号线,立水桥,39
1341,13,北苑,116.4277429,40.04119002,1341,13号线,北苑,41
1343,13,望京西,116.44086409999998,39.99411617,1343,13号线,望京西,43
1345,13,芍药居,116.4294535,39.97650759,1023,13号线,芍药居,45
1347,13,光熙门,116.4258378,39.96932083,1347,13号线,光熙门,47
1349,13,柳芳,116.4261891,39.95670492,1349,13号线,柳芳,49
1351,13,东直门,116.42819109999998,39.93974713,214,13号线,东直门,51
1421,14,张郭庄,116.1840061,39.85741904,1421,14号线,张郭庄,21
1423,14,园博园,116.2081861,39.86185835,1423,14号线,园博园,23
1425,14,大瓦窑,116.2305882,39.86562687,1425,14号线,大瓦窑,25
1427,14,郭庄子,116.2474311,39.86550321,1427,14号线,郭庄子,27
1429,14,大井,116.271741,39.86327173,1429,14号线,大井,29
1431,14,七里庄,116.2893693,39.86398449,935,14号线,七里庄,31
1433,14,西局,116.2973192,39.86487051,9051,14号线,西局,33
1471,14,金台路,116.4725478,39.9227555,649,14号线,金台路,71
1473,14,朝阳公园,116.478283,39.933711,1473,14号线,朝阳公园,73
1475,14,枣营,116.4727329,39.93369892,1475,14号线,枣营,75
1477,14,东风北桥,116.468544,39.94285714,1477,14号线,东风北桥,77
1479,14,将台,116.4801571,39.96213805,1479,14号线,将台,79
1483,14,望京南,116.4710261,39.98668359,1483,14号线,望京南,83
1485,14,阜通,116.4643453,39.9906066,1485,14号线,阜通,85
1487,14,望京,116.461481,39.99751005,1487,14号线,望京,87
1489,14,东湖渠,116.4607898,40.01242997,1489,14号线,东湖渠,89
1491,14,来广营,116.4610861,40.02241912,1491,14号线,来广营,91
1493,14,善各庄,116.4699057,40.02861997,1493,14号线,善各庄,93
1525,15,清华东路西口,116.3321773,39.99900758,1525,15号线,清华东路西口,25
1527,15,六道口,116.3606809,40.00014998,1527,15号线,六道口,27
1529,15,北沙滩,116.3714547,40.00011885,1529,15号线,北沙滩,29
1531,15,奥林匹克公园,116.3854555,40.00065325,825,15号线,奥林匹克公园,31
1533,15,安立路,116.4018587,40.00100925,1533,15号线,安立路,33
1537,15,关庄,116.4235459,39.99969618,1537,15号线,关庄,37
1539,15,望京西,116.4421466,39.99478881,1343,15号线,望京西,39
1541,15,望京,116.4630556,39.99680587,1487,15号线,望京,41
1545,15,崔各庄,116.4857622,40.02161263,1545,15号线,崔各庄,45
1547,15,马泉营,116.4969569,40.03330665,1547,15号线,马泉营,47
1549,15,孙河,116.52631979999998,40.0414278,1549,15号线,孙河,49
1551,15,国展,116.5482027,40.0688486,1551,15号线,国展,51
1553,15,花梨坎,116.5500616,40.08385088,1553,15号线,花梨坎,53
1555,15,后沙峪,116.5558471,40.11371908,1555,15号线,后沙峪,55
1557,15,南法信,116.6027659,40.12794783,1557,15号线,南法信,57
1559,15,石门,116.633685,40.12930159,1559,15号线,石门,59
1561,15,顺义,116.6495549,40.13013421,1561,15号线,顺义,61
1563,15,俸伯,116.6758027,40.13223701,1563,15号线,俸伯,63
9701,97,四惠,116.4904142,39.90790300000001,124,八通线,四惠,1
9702,97,四惠东,116.5109502,39.90788335,125,八通线,四惠东,2
9703,97,高碑店,116.52650020000002,39.90845224,9703,八通线,高碑店,3
9704,97,传媒大学,116.5494063,39.90905686,9704,八通线,传媒大学,4
9705,97,双桥,116.5716444,39.9099427,9705,八通线,双桥,5
9706,97,管庄,116.5936473,39.9091753,9706,八通线,管庄,6
9707,97,八里桥,116.6138373,39.90627221,9707,八通线,八里桥,7
9708,97,通州北苑,116.6319416,39.90384534,9708,八通线,通州北苑,8
9709,97,果园,116.6408376,39.89325478,9709,八通线,果园,9
9710,97,九棵树,116.6519499,39.89000134,9710,八通线,九棵树,10
9711,97,梨园,116.6635452,39.88340689,9711,八通线,梨园,11
9712,97,临河里,116.6736601,39.87547417,9712,八通线,临河里,12
9713,97,土桥,116.6810178,39.87182904,9713,八通线,土桥,13
9429,94,南邵,116.2790994,40.20418661,9429,昌平线,南邵,29
9431,94,沙河高教园,116.2729447,40.16240628,9431,昌平线,沙河高教园,31
9433,94,沙河,116.2819274,40.14540528,9433,昌平线,沙河,33
9435,94,巩华城,116.2864912,40.12869159,9435,昌平线,巩华城,35
9437,94,朱辛庄,116.3045746,40.10182891,805,昌平线,朱辛庄,37
9439,94,生命科学园,116.2831461,40.09083712,9439,昌平线,生命科学园,39
9441,94,西二旗,116.29850659999998,40.0508816,1331,昌平线,西二旗,41
9319,93,公益西桥,116.3657754,39.83399503,467,大兴线,公益西桥,19
9321,93,新宫,116.3607086,39.80970404,9321,大兴线,新宫,21
9323,93,西红门,116.3240477,39.78743059,9323,大兴线,西红门,23
9325,93,高米店北,116.3257064,39.77537163,9325,大兴线,高米店北,25
9327,93,高米店南,116.3276044,39.76264753,9327,大兴线,高米店南,27
9329,93,枣园,116.3281559,39.7527256,9329,大兴线,枣园,29
9331,93,清源路,116.3286125,39.74055148,9331,大兴线,清源路,31
9333,93,黄村西大街,116.3288898,39.73000648,9333,大兴线,黄村西大街,33
9335,93,黄村火车站,116.3278684,39.71986824,9335,大兴线,黄村火车站,35
9337,93,义和庄,116.3158819,39.71014323,9337,大兴线,义和庄,37
9339,93,生物医药基地,116.3181656,39.6854517,9339,大兴线,生物医药基地,39
9341,93,天宫院,116.3159733,39.66662405,9341,大兴线,天宫院,41
9521,95,郭公庄,116.29662009999998,39.81199012,945,房山线,郭公庄,21
9523,95,大葆台,116.2876149,39.805315500000006,9523,房山线,大葆台,23
9525,95,稻田,116.2132291,39.79117232,9525,房山线,稻田,25
9527,95,长阳,116.2084112,39.76129238,9527,房山线,长阳,27
9529,95,篱笆房,116.1857023,39.75829826,9529,房山线,篱笆房,29
9531,95,广阳城,116.1804505,39.74555324,9531,房山线,广阳城,31
9533,95,良乡大学城北,116.1800729,39.73015858,9533,房山线,良乡大学城北,33
9535,95,良乡大学城,116.1743061,39.720769,9535,房山线,良乡大学城,35
9537,95,良乡大学城西,116.1548703,39.72025988,9537,房山线,良乡大学城西,37
9539,95,良乡南关,116.14184640000002,39.72092988,9539,房山线,良乡南关,39
9541,95,苏庄,116.1174208,39.72120609,9541,房山线,苏庄,41
9821,98,东直门,116.4276075,39.9409781,214,机场快轨,东直门,21
9823,98,三元桥,116.453906,39.96204437,1027,机场快轨,三元桥,23
9825,98,T2航站楼,116.5864598,40.07922234,9825,机场快轨,T2航站楼,25
9827,98,T3航站楼,116.6087283,40.05380354,9827,机场快轨,T3航站楼,27
9621,96,宋家庄,116.4228216,39.84346134,565,亦庄线,宋家庄,21
9623,96,肖村,116.4435523,39.83285405,9623,亦庄线,肖村,23
9625,96,小红门,116.4547004,39.82649444,9625,亦庄线,小红门,25
9627,96,旧宫,116.45633329999998,39.80604854,9627,亦庄线,旧宫,27
9629,96,亦庄桥,116.4762491,39.80219532,9629,亦庄线,亦庄桥,29
9631,96,亦庄文化园,116.4852935,39.8060185,9631,亦庄线,亦庄文化园,31
9633,96,万源街,116.4999832,39.80284941,9633,亦庄线,万源街,33
9635,96,荣京东街,116.5087216,39.79242124,9635,亦庄线,荣京东街,35
9637,96,荣昌东街,116.5175033,39.78210965,9637,亦庄线,荣昌东街,37
9639,96,同济南路,116.535724,39.77189856,9639,亦庄线,同济南路,39
9641,96,经海路,116.5594684,39.7840328,9641,亦庄线,经海路,41
9643,96,次渠南,116.5770348,39.79397826,9643,亦庄线,次渠南,43
9645,96,次渠,116.5857051,39.80250264,9645,亦庄线,次渠,45
