,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,201,202,203,205,206,207,208,209,210,212,213,214,215,216,217,218,421,423,425,427,429,431,433,435,437,439,441,445,447,449,451,457,459,461,463,465,467,521,523,525,527,529,531,533,535,537,539,541,545,547,549,551,557,559,561,563,565,621,623,625,627,631,637,639,645,647,649,651,653,655,657,659,661,663,665,669,673,675,677,721,723,725,727,731,733,735,739,741,743,745,747,749,751,753,755,759,761,805,807,809,811,813,815,817,819,821,823,825,827,829,831,837,925,931,933,935,937,939,941,943,945,1001,1003,1007,1009,1011,1013,1015,1019,1023,1025,1027,1029,1031,1033,1037,1043,1323,1327,1329,1331,1333,1335,1341,1343,1347,1349,1421,1423,1425,1427,1429,1475,1477,1479,1483,1485,1487,1489,1491,1493,1525,1527,1529,1533,1537,1545,1547,1549,1551,1553,1555,1557,1559,1561,1563,9023,9025,9027,9029,9033,9035,9037,9041,9043,9045,9047,9049,9051,9055,9059,9063,9065,9067,9321,9323,9325,9327,9329,9331,9333,9335,9337,9339,9341,9429,9431,9433,9435,9439,9523,9525,9527,9529,9531,9533,9535,9537,9539,9541,9623,9625,9627,9629,9631,9633,9635,9637,9639,9641,9643,9645,9703,9704,9705,9706,9707,9708,9709,9710,9711,9712,9713,9825,9827
112,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,9,10,11,12,5,4,3,3,4,5,6,7,8,9,10,11,11,10,9,10,13,12,11,10,9,8,7,6,5,4,5,6,5,5,4,5,6,7,8,9,10,17,16,15,14,15,16,15,14,13,13,12,10,9,8,8,8,9,10,11,12,5,4,4,3,4,6,7,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,16,17,18,12,13,14,14,13,14,15,16,15,14,13,12,11,10,8,2,3,4,5,6,7,8,9,10,8,8,8,7,8,9,10,12,13,12,11,10,9,8,8,11,6,8,9,10,11,12,15,14,13,12,10,9,8,7,6,8,9,10,11,12,13,14,15,16,16,15,14,14,15,14,15,16,17,18,19,20,21,22,23,12,13,14,13,12,11,10,10,9,8,7,6,5,3,3,5,6,7,11,12,13,14,15,16,17,18,19,20,21,16,15,14,13,11,11,12,13,14,15,16,17,18,19,20,13,14,15,16,17,18,19,20,21,22,23,24,13,14,15,16,17,18,19,20,21,22,23,12,13
113,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,4,3,2,2,3,4,5,6,7,8,9,10,10,9,8,9,14,13,12,11,10,9,8,7,6,5,5,5,4,4,3,4,5,6,7,8,9,16,15,14,13,14,15,14,13,12,12,11,9,8,7,7,7,8,9,10,11,6,5,5,4,4,5,6,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,3,4,5,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,11,12,13,13,12,13,14,15,14,13,12,11,10,9,7,3,4,5,6,7,8,9,10,11,9,9,7,6,7,8,9,11,13,12,11,11,10,9,9,11,5,7,8,9,10,11,14,14,12,11,11,10,9,8,7,9,10,11,12,13,14,15,16,17,15,14,13,13,14,15,16,17,18,19,20,21,22,23,24,12,13,13,12,11,10,9,9,10,9,8,7,6,4,4,6,7,8,10,11,12,13,14,15,16,17,18,19,20,15,14,13,12,10,12,13,14,15,16,17,18,19,20,21,12,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23,12,13
114,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,3,2,1,1,2,3,4,5,6,7,8,9,9,8,7,8,13,12,11,10,9,8,7,7,6,5,4,4,3,3,2,3,4,5,6,7,8,15,14,13,12,13,14,13,12,11,11,10,8,7,6,6,6,7,8,9,10,7,6,5,4,3,4,5,8,9,8,9,10,11,12,13,14,15,16,17,18,19,20,4,5,5,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,10,11,12,12,11,12,13,14,13,12,11,10,9,8,6,4,5,6,7,8,9,10,11,12,9,8,6,5,6,7,8,10,12,11,10,11,11,10,9,10,4,6,7,8,9,10,13,13,11,10,12,11,10,9,8,10,11,12,13,14,14,15,16,17,14,13,12,12,13,15,16,17,18,19,20,21,22,23,24,11,12,12,11,10,9,8,8,9,10,9,8,7,5,5,7,8,9,9,10,11,12,13,14,15,16,17,18,19,14,13,12,11,9,13,14,15,16,17,18,19,20,21,22,11,12,13,14,15,16,17,18,19,20,21,22,12,13,14,15,16,17,18,19,20,21,22,11,12
115,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,4,3,2,2,1,2,3,4,5,6,7,8,9,8,7,8,14,13,12,11,10,9,8,8,7,6,5,4,3,2,1,2,3,4,5,6,7,16,15,14,13,14,14,13,12,11,11,10,8,7,6,5,5,6,7,8,9,8,7,6,5,4,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,5,5,4,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,11,12,13,13,12,13,14,14,13,12,11,10,9,8,6,5,6,7,8,9,10,11,12,13,10,9,7,6,7,8,9,10,11,10,9,10,10,9,8,9,5,7,8,9,10,11,13,12,10,9,13,12,11,10,9,11,12,13,14,14,13,14,15,16,14,13,12,12,13,14,15,16,17,18,19,20,21,22,23,10,11,11,10,9,8,7,7,8,9,10,9,8,6,6,8,9,10,8,9,10,11,12,13,14,15,16,17,18,15,14,13,12,10,14,15,16,17,18,19,20,21,22,23,10,11,12,13,14,15,16,17,18,19,20,21,11,12,13,14,15,16,17,18,19,20,21,10,11
116,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,5,4,3,3,2,3,4,4,5,5,6,7,8,9,8,9,15,14,13,12,11,10,9,9,8,7,6,5,4,3,2,3,4,5,6,7,8,16,15,14,13,14,14,13,12,11,10,9,7,6,5,4,5,6,7,8,9,9,8,7,6,5,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,6,6,5,4,4,5,6,6,7,7,8,9,10,11,12,13,14,15,12,13,14,14,13,14,15,15,14,13,12,11,10,9,7,6,7,8,9,10,11,12,13,14,11,10,8,7,8,9,10,11,10,9,8,9,9,8,7,8,6,8,9,10,11,12,12,11,9,8,14,13,12,11,10,10,11,12,13,13,12,13,14,15,15,14,13,13,12,13,14,15,16,17,18,19,20,21,22,9,10,11,10,10,9,8,8,9,10,11,10,9,7,7,9,10,11,9,10,11,12,13,14,15,16,17,18,19,16,15,14,13,11,15,16,17,18,19,20,21,22,23,24,10,11,12,13,14,15,16,17,18,19,20,21,10,11,12,13,14,15,16,17,18,19,20,9,10
117,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,6,5,4,4,3,4,4,3,4,4,5,6,7,8,7,8,16,15,14,13,12,11,10,10,9,8,7,6,5,4,3,4,5,6,7,8,9,15,14,13,12,13,13,12,11,10,9,8,6,5,4,3,4,5,6,7,8,10,9,8,7,6,6,5,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,7,7,6,5,5,6,5,5,6,6,7,8,9,10,11,12,13,14,13,14,15,14,13,14,15,14,13,12,11,10,9,8,6,7,8,9,9,10,11,12,13,14,12,11,9,8,9,10,10,10,9,8,7,8,8,7,6,7,7,9,10,11,12,13,11,10,8,7,14,13,12,11,10,9,10,11,12,12,11,12,13,14,14,13,12,12,11,12,13,14,15,16,17,18,19,20,21,8,9,10,9,9,10,9,9,10,11,10,9,8,8,8,10,11,12,10,11,12,13,14,15,16,17,18,19,20,17,16,15,14,12,15,16,17,18,19,20,21,22,23,24,9,10,11,12,13,14,15,16,17,18,19,20,9,10,11,12,13,14,15,16,17,18,19,8,9
118,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,7,6,5,5,4,4,3,2,3,3,4,5,6,7,6,7,17,16,15,14,13,12,11,11,10,9,8,7,6,5,4,5,6,7,8,9,10,14,13,12,11,12,12,11,10,9,8,7,5,4,3,2,3,4,5,6,7,11,10,9,8,7,5,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,8,8,7,6,6,5,4,4,5,5,6,7,8,9,10,11,12,13,14,15,14,13,12,13,14,13,12,11,10,9,8,7,5,8,9,8,8,9,10,11,12,13,13,12,10,9,10,10,9,9,8,7,6,7,7,6,5,6,8,10,11,12,13,13,10,9,7,6,13,12,11,10,9,8,9,10,11,11,10,11,12,13,13,12,11,11,10,11,12,13,14,15,16,17,18,19,20,7,8,9,8,8,9,10,10,11,10,9,8,7,9,9,11,12,13,11,12,13,14,15,16,17,18,19,20,21,18,17,16,15,13,14,15,16,17,18,19,20,21,22,23,8,9,10,11,12,13,14,15,16,17,18,19,8,9,10,11,12,13,14,15,16,17,18,7,8
119,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,6,6,5,4,3,2,1,2,2,3,4,5,6,5,6,17,16,15,14,13,12,11,11,10,9,8,6,5,6,5,5,6,7,8,9,10,13,12,11,10,11,11,10,9,8,7,6,4,3,2,1,2,3,4,5,6,11,10,9,8,7,4,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,8,7,6,5,4,3,3,4,4,5,6,7,8,9,10,11,12,14,14,13,12,11,12,13,12,11,10,9,8,7,6,4,9,8,7,7,8,9,10,11,12,13,12,10,9,10,9,8,8,7,6,5,6,6,5,4,5,8,10,11,12,13,12,9,8,6,5,12,11,10,9,8,7,8,9,10,10,9,10,11,12,12,11,10,10,9,10,11,12,13,14,15,16,17,18,19,6,7,8,7,7,8,9,10,10,9,8,7,6,8,10,11,12,13,11,12,13,14,15,16,17,18,19,20,21,18,17,16,15,13,13,14,15,16,17,18,19,20,21,22,7,8,9,10,11,12,13,14,15,16,17,18,7,8,9,10,11,12,13,14,15,16,17,6,7
120,15,14,13,12,11,10,9,8,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,7,6,7,6,5,4,3,2,1,1,2,3,4,5,5,6,17,16,15,14,13,12,11,11,10,9,8,6,5,6,6,6,7,8,9,10,11,12,11,10,9,10,10,9,8,7,6,5,4,3,2,2,3,4,5,6,7,11,10,9,8,7,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,8,9,8,7,6,5,4,4,4,3,4,5,6,7,8,9,10,11,14,13,12,11,10,11,12,12,11,10,9,8,7,6,4,9,7,6,6,7,8,9,10,11,13,12,10,9,10,9,8,8,6,5,4,5,5,4,3,4,8,10,11,12,12,11,8,7,5,4,11,10,9,8,7,6,7,8,9,9,8,9,10,11,12,11,10,9,8,9,10,11,12,13,14,15,16,17,18,5,6,7,8,8,9,10,10,9,8,7,6,5,7,9,11,12,13,12,13,14,15,16,17,18,19,20,21,22,18,17,16,15,13,12,13,14,15,16,17,18,19,20,21,8,9,10,11,12,13,14,15,16,17,18,19,6,7,8,9,10,11,12,13,14,15,16,5,6
121,15,14,13,12,11,10,9,8,9,9,8,7,6,5,4,3,2,1,0,1,2,3,4,8,7,8,7,6,5,4,3,2,2,3,4,5,6,6,7,18,17,16,15,14,13,12,12,11,10,9,7,6,7,7,7,8,9,10,11,12,13,12,11,10,11,11,10,9,8,7,6,5,4,3,3,4,5,6,7,8,11,10,10,9,8,5,4,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,8,9,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,15,14,13,12,11,12,13,13,12,11,10,9,8,7,5,10,7,6,6,7,8,9,10,11,14,13,11,10,11,10,9,9,7,6,5,6,5,4,2,3,9,11,12,13,13,12,9,8,6,5,11,10,9,8,7,6,7,8,9,10,9,10,11,12,13,12,11,10,9,10,11,12,13,14,15,16,17,18,19,4,5,6,7,9,10,11,10,9,8,7,6,5,7,9,11,12,13,13,14,15,16,17,18,19,20,21,22,23,19,18,17,16,14,12,13,14,15,16,17,18,19,20,21,9,10,11,12,13,14,15,16,17,18,19,20,5,6,7,8,9,10,11,12,13,14,15,6,7
