,name,route_name,station,route,latitude,longitude,id
933,六里桥,9号线,33,9,39.87940791,116.2990179,933
935,七里庄,9号线,35,9,39.86455003,116.28759869999999,935
937,丰台东大街,9号线,37,9,39.85342885,116.2893263,937
939,丰台南路,9号线,39,9,39.83942791,116.2914334,939
941,科怡路,9号线,41,9,39.83080357,116.2935195,941
943,丰台科技园,9号线,43,9,39.82273884,116.29285459999998,943
945,郭公庄,9号线,45,9,39.811903,116.296722,945
1001,巴沟,10号线,1,10,39.97014763,116.2802882,1001
1003,苏州街,10号线,3,10,39.97243525,116.28898659999999,1003
1005,海淀黄庄,10号线,5,10,39.97397432,116.3112686,433
1007,知春里,10号线,7,10,39.97404935,116.32247029999999,1007
1009,知春路,10号线,9,10,39.97395601,116.334341,1009
1011,西土城,10号线,11,10,39.97533585,116.34734479999999,1011
1013,牡丹园,10号线,13,10,39.97564059,116.363274,1013
1015,健德门,10号线,15,10,39.97574857,116.37483870000001,1015
1017,北土城,10号线,17,10,39.97451364,116.38813619999999,829
1019,安贞门,10号线,19,10,39.9757222,116.40053400000001,1019
1021,惠新西街南口,10号线,21,10,39.97578354,116.4107413,537
1023,芍药居,10号线,23,10,39.97619619,116.4302287,1023
1025,太阳宫,10号线,25,10,39.97158192,116.44068490000002,1025
1027,三元桥,10号线,27,10,39.96284292,116.45326770000001,1027
1029,亮马桥,10号线,29,10,39.94692355,116.4559453,1029
1031,农业展览馆,10号线,31,10,39.93991648,116.45589550000001,1031
1033,团结湖,10号线,33,10,39.93316909,116.4555278,1033
1035,呼家楼,10号线,35,10,39.92225932,116.4548422,647
1037,金台夕照,10号线,37,10,39.91538346,116.4558908,1037
1039,国贸,10号线,39,10,39.90686347,116.4558764,122
1041,双井,10号线,41,10,39.89238552,116.45676259999999,743
1043,劲松,10号线,43,10,39.87457419,116.4555121,1043
9021,劲松,10号线,21,90,39.87457419,116.4555121,1043
9023,潘家园,10号线,23,90,39.86476092,116.4524575,9023
9025,十里河,10号线,25,90,39.85088475,116.44920249999998,9025
9027,分钟寺,10号线,27,90,39.84451834,116.44189250000001,9027
9029,成寿寺,10号线,29,90,39.84452226,116.4336033,9029
9031,宋家庄,10号线,31,90,39.84452631,116.42326829999999,565
9033,石榴庄,10号线,33,90,39.84446734,116.40798629999999,9033
9035,大红门,10号线,35,90,39.84399285,116.3945774,9035
9037,角门东,10号线,37,90,39.84413348,116.38027520000001,9037
